,store_id,amount,year_month,datetime
0,0,747000.0,2016-06,2016-06-25
1,0,1005000.0,2016-07,2016-07-25
2,0,871571.4285714285,2016-08,2016-08-25
3,0,897857.1428571428,2016-09,2016-09-25
4,0,835428.5714285715,2016-10,2016-10-25
5,0,697000.0,2016-11,2016-11-25
6,0,761857.1428571428,2016-12,2016-12-25
7,0,585642.8571428572,2017-01,2017-01-25
8,0,794000.0,2017-02,2017-02-25
9,0,720257.1428571428,2017-03,2017-03-25
10,0,685285.7142857143,2017-04,2017-04-25
11,0,744428.5714285715,2017-05,2017-05-25
12,0,682000.0,2017-06,2017-06-25
13,0,728285.7142857143,2017-07,2017-07-25
14,0,749000.0,2017-08,2017-08-25
15,0,840857.1428571428,2017-09,2017-09-25
16,0,600571.4285714286,2017-10,2017-10-25
17,0,630857.1428571428,2017-11,2017-11-25
18,0,812714.2857142857,2017-12,2017-12-25
19,0,643142.8571428572,2018-01,2018-01-25
20,0,685285.7142857143,2018-02,2018-02-25
21,0,848428.5714285715,2018-03,2018-03-25
22,0,636142.8571428572,2018-04,2018-04-25
23,0,686428.5714285715,2018-05,2018-05-25
24,0,707285.7142857143,2018-06,2018-06-25
25,0,758714.2857142857,2018-07,2018-07-25
26,0,679857.1428571428,2018-08,2018-08-25
27,0,651857.1428571428,2018-09,2018-09-25
28,0,739000.0,2018-10,2018-10-25
29,0,676000.0,2018-11,2018-11-25
30,0,874571.4285714286,2018-12,2018-12-25
31,0,682857.1428571428,2019-01,2019-01-25
32,0,515285.71428571426,2019-02,2019-02-25
33,0,747000.0,2016-06,2016-06-25
34,0,1005000.0,2016-07,2016-07-25
35,0,871571.4285714285,2016-08,2016-08-25
36,0,897857.1428571428,2016-09,2016-09-25
37,0,835428.5714285715,2016-10,2016-10-25
38,0,697000.0,2016-11,2016-11-25
39,0,761857.1428571428,2016-12,2016-12-25
40,0,585642.8571428572,2017-01,2017-01-25
41,0,794000.0,2017-02,2017-02-25
42,0,720257.1428571428,2017-03,2017-03-25
43,0,685285.7142857143,2017-04,2017-04-25
44,0,744428.5714285715,2017-05,2017-05-25
45,0,682000.0,2017-06,2017-06-25
46,0,728285.7142857143,2017-07,2017-07-25
47,0,749000.0,2017-08,2017-08-25
48,0,840857.1428571428,2017-09,2017-09-25
49,0,600571.4285714286,2017-10,2017-10-25
50,0,630857.1428571428,2017-11,2017-11-25
51,0,812714.2857142857,2017-12,2017-12-25
52,0,643142.8571428572,2018-01,2018-01-25
53,0,685285.7142857143,2018-02,2018-02-25
54,0,848428.5714285715,2018-03,2018-03-25
55,0,636142.8571428572,2018-04,2018-04-25
56,0,686428.5714285715,2018-05,2018-05-25
57,0,707285.7142857143,2018-06,2018-06-25
58,0,758714.2857142857,2018-07,2018-07-25
59,0,679857.1428571428,2018-08,2018-08-25
60,0,651857.1428571428,2018-09,2018-09-25
61,0,739000.0,2018-10,2018-10-25
62,0,676000.0,2018-11,2018-11-25
63,0,874571.4285714286,2018-12,2018-12-25
64,0,682857.1428571428,2019-01,2019-01-25
65,0,515285.71428571426,2019-02,2019-02-25
66,1,137214.2857142857,2016-06,2016-06-25
67,1,163000.0,2016-07,2016-07-25
68,1,118142.85714285714,2016-08,2016-08-25
69,1,90428.57142857142,2016-09,2016-09-25
70,1,118071.42857142857,2016-10,2016-10-25
71,1,111857.14285714286,2016-11,2016-11-25
72,1,115571.42857142857,2016-12,2016-12-25
73,1,129642.85714285714,2017-01,2017-01-25
74,1,160214.2857142857,2017-02,2017-02-25
75,1,168428.57142857142,2017-03,2017-03-25
76,1,152571.42857142858,2017-04,2017-04-25
77,1,107500.0,2017-05,2017-05-25
78,1,110357.14285714286,2017-06,2017-06-25
79,1,132571.42857142858,2017-07,2017-07-25
80,1,107642.85714285714,2017-08,2017-08-25
81,1,131357.14285714287,2017-09,2017-09-25
82,1,80142.85714285714,2017-10,2017-10-25
83,1,110142.85714285714,2017-11,2017-11-25
84,1,100714.28571428571,2017-12,2017-12-25
85,1,109571.42857142857,2018-01,2018-01-25
86,1,94214.28571428571,2018-02,2018-02-25
87,1,108357.14285714286,2018-03,2018-03-25
88,1,108857.14285714286,2018-04,2018-04-25
89,1,80500.0,2018-05,2018-05-25
90,1,78285.71428571429,2018-06,2018-06-25
91,1,100785.71428571429,2018-07,2018-07-25
92,1,92142.85714285714,2018-08,2018-08-25
93,1,63571.42857142857,2018-09,2018-09-25
94,1,95000.0,2018-10,2018-10-25
95,1,80785.71428571429,2018-11,2018-11-25
96,1,85285.71428571429,2018-12,2018-12-25
97,1,148285.7142857143,2019-01,2019-01-25
98,1,77428.57142857142,2019-02,2019-02-25
99,2,260714.2857142857,2016-06,2016-06-25
100,2,82857.14285714286,2016-07,2016-07-25
101,2,131428.57142857142,2016-08,2016-08-25
102,2,142857.14285714287,2016-09,2016-09-25
103,2,109714.28571428571,2016-10,2016-10-25
104,2,198571.42857142855,2016-11,2016-11-25
105,2,160000.0,2016-12,2016-12-25
106,2,180714.2857142857,2017-01,2017-01-25
107,2,154285.7142857143,2017-02,2017-02-25
108,2,43714.28571428572,2017-03,2017-03-25
109,2,201428.57142857142,2017-04,2017-04-25
110,2,186428.57142857142,2017-05,2017-05-25
111,2,120571.42857142855,2017-06,2017-06-25
112,2,207142.85714285716,2017-07,2017-07-25
113,2,190000.0,2017-08,2017-08-25
114,2,232857.14285714284,2017-09,2017-09-25
115,2,266714.2857142857,2017-10,2017-10-25
116,2,252857.14285714284,2017-11,2017-11-25
117,2,238571.42857142858,2017-12,2017-12-25
118,2,299714.2857142857,2018-01,2018-01-25
119,2,312857.14285714284,2018-02,2018-02-25
120,2,189714.2857142857,2018-03,2018-03-25
121,2,283571.4285714286,2018-04,2018-04-25
122,2,472857.14285714284,2018-05,2018-05-25
123,2,354285.71428571426,2018-06,2018-06-25
124,2,689285.7142857143,2018-07,2018-07-25
125,2,457857.1428571429,2018-08,2018-08-25
126,2,480714.2857142857,2018-09,2018-09-25
127,2,510000.0,2018-10,2018-10-25
128,2,185428.57142857145,2018-11,2018-11-25
129,2,340714.2857142857,2018-12,2018-12-25
130,2,407857.14285714284,2019-01,2019-01-25
131,2,496857.14285714284,2019-02,2019-02-25
132,4,733428.5714285715,2016-06,2016-06-25
133,4,768928.5714285715,2016-07,2016-07-25
134,4,698428.5714285715,2016-08,2016-08-25
135,4,936428.5714285715,2016-09,2016-09-25
136,4,762714.2857142857,2016-10,2016-10-25
137,4,859571.4285714285,2016-11,2016-11-25
138,4,1069857.142857143,2016-12,2016-12-25
139,4,689142.8571428572,2017-01,2017-01-25
140,4,1050142.857142857,2017-02,2017-02-25
141,4,970285.7142857143,2017-03,2017-03-25
142,4,1085171.4285714286,2017-04,2017-04-25
143,4,1035857.1428571428,2017-05,2017-05-25
144,4,894142.8571428572,2017-06,2017-06-25
145,4,1022714.2857142857,2017-07,2017-07-25
146,4,1191428.5714285714,2017-08,2017-08-25
147,4,972571.4285714286,2017-09,2017-09-25
148,4,1060571.4285714286,2017-10,2017-10-25
149,4,1189142.857142857,2017-11,2017-11-25
150,4,1010142.8571428572,2017-12,2017-12-25
151,4,831571.4285714285,2018-01,2018-01-25
152,4,651000.0,2018-02,2018-02-25
153,4,908000.0,2018-03,2018-03-25
154,4,792214.2857142857,2018-04,2018-04-25
155,4,775428.5714285715,2018-05,2018-05-25
156,4,881285.7142857143,2018-06,2018-06-25
157,4,1050928.5714285714,2018-07,2018-07-25
158,4,849285.7142857143,2018-08,2018-08-25
159,4,698142.8571428572,2018-09,2018-09-25
160,4,828428.5714285715,2018-10,2018-10-25
161,4,883000.0,2018-11,2018-11-25
162,4,923857.1428571428,2018-12,2018-12-25
163,4,944857.1428571428,2019-01,2019-01-25
164,4,882285.7142857143,2019-02,2019-02-25
165,5,342500.0,2016-06,2016-06-25
166,5,432714.28571428574,2016-07,2016-07-25
167,5,263500.0,2016-08,2016-08-25
168,5,232142.85714285716,2016-09,2016-09-25
169,5,211571.42857142858,2016-10,2016-10-25
170,5,182085.7142857143,2016-11,2016-11-25
171,5,147571.42857142858,2016-12,2016-12-25
172,5,120957.14285714286,2017-01,2017-01-25
173,5,186428.57142857142,2017-02,2017-02-25
174,5,169000.0,2017-03,2017-03-25
175,5,312857.14285714284,2017-04,2017-04-25
176,5,235342.85714285716,2017-05,2017-05-25
177,5,475857.14285714284,2017-06,2017-06-25
178,5,410914.28571428574,2017-07,2017-07-25
179,5,297714.28571428574,2017-08,2017-08-25
180,5,291428.5714285714,2017-09,2017-09-25
181,5,396157.14285714284,2017-10,2017-10-25
182,5,399285.7142857143,2017-11,2017-11-25
183,5,441557.1428571429,2017-12,2017-12-25
184,5,388428.5714285714,2018-01,2018-01-25
185,5,316785.71428571426,2018-02,2018-02-25
186,5,370142.85714285716,2018-03,2018-03-25
187,5,297857.14285714284,2018-04,2018-04-25
188,5,432000.0,2018-05,2018-05-25
189,5,575571.4285714285,2018-06,2018-06-25
190,5,607071.4285714286,2018-07,2018-07-25
191,5,482885.71428571426,2018-08,2018-08-25
192,5,195000.0,2018-09,2018-09-25
193,5,324928.5714285714,2018-10,2018-10-25
194,5,383300.0,2018-11,2018-11-25
195,5,399571.4285714286,2018-12,2018-12-25
196,5,323000.0,2019-01,2019-01-25
197,5,215514.2857142857,2019-02,2019-02-25
198,6,568857.1428571428,2016-08,2016-08-25
199,6,1440142.857142857,2016-09,2016-09-25
200,6,1238857.142857143,2016-10,2016-10-25
201,6,1055428.5714285714,2016-11,2016-11-25
202,6,926857.1428571428,2016-12,2016-12-25
203,6,885642.8571428572,2017-01,2017-01-25
204,6,800357.1428571428,2017-02,2017-02-25
205,6,930714.2857142857,2017-03,2017-03-25
206,6,855071.4285714285,2017-04,2017-04-25
